Geo,Year,SFDU,MFDU,GQDU
510411002082,2024,488,33,0
510411002091,2024,249,231,0
510411002092,2024,265,152,0
510411002093,2024,1148,149,0
510411002094,2024,618,59,0
510411002101,2024,450,548,0
510411002111,2024,421,0,0
510411002112,2024,309,1056,0
510411002121,2024,298,118,0
510411002122,2024,345,478,0
510411002123,2024,21,818,0
510411003001,2024,382,295,0
510411003002,2024,346,175,0
510411004031,2024,1044,16,0
510411004032,2024,342,106,0
510411004033,2024,184,17,0
510411004034,2024,298,153,0
510411004035,2024,485,296,0
510411004041,2024,158,204,0
510411004042,2024,333,338,0
510411004051,2024,225,438,0
510411004052,2024,216,0,0
510411004061,2024,223,551,0
510411004071,2024,220,15,0
510411004072,2024,482,11,0
510411004073,2024,652,184,0
510411004091,2024,606,195,6
510411004092,2024,479,0,0
510411004093,2024,354,363,0
510411004094,2024,669,0,0
510411004095,2024,428,0,0
510411004101,2024,197,625,0
510411004102,2024,169,351,0
510411005051,2024,473,168,0
510411005052,2024,393,22,0
510411005053,2024,449,77,4
510411005054,2024,26,303,0
510411005055,2024,309,43,0
510411005061,2024,220,0,0
510411005062,2024,403,235,0
510411005063,2024,550,0,0
510411005064,2024,400,0,0
510411005065,2024,663,0,0
510411005071,2024,810,21,6
510411005072,2024,729,0,0
510411005073,2024,1168,16,0
510411005081,2024,741,0,0
510411005082,2024,1141,294,12
510411005091,2024,1175,20,0
510411005092,2024,165,0,0
510411005093,2024,362,30,4
510411005094,2024,773,19,6
510411005101,2024,482,289,0
510411005102,2024,774,84,0
510411006001,2024,366,39,0
510411006002,2024,15,0,1445
510411006003,2024,264,88,0
510411007011,2024,812,0,0
510411007012,2024,459,45,614
510411007013,2024,632,1,0
510411007014,2024,424,66,8
510411007021,2024,801,0,1
510411007041,2024,616,0,0
510411007042,2024,476,0,0
510411007043,2024,820,0,0
510411007051,2024,199,15,16
510411007052,2024,964,0,0
510411008041,2024,380,400,3
510411008042,2024,615,0,0
510411008043,2024,426,0,1
510411008051,2024,524,0,0
510411008052,2024,120,219,0
510411008053,2024,443,43,9
510411008054,2024,654,0,4
510411008061,2024,26,750,0
510411008062,2024,675,28,0
510411008071,2024,927,195,5
510411008121,2024,638,0,4
510411008122,2024,916,0,0
510411008123,2024,509,108,7
510411008141,2024,680,8,0
510411008142,2024,730,0,0
510411008151,2024,626,0,3
510411008152,2024,1232,1,1
510411008161,2024,496,0,0
510411008162,2024,794,42,0
510411008163,2024,372,0,0
510411008171,2024,383,383,0
510411008172,2024,185,212,0
510411008181,2024,544,0,10
510411008182,2024,1239,0,12
510411008191,2024,312,633,90
510411008192,2024,781,0,18
510411008193,2024,833,0,9
510411008201,2024,636,376,0
510411008202,2024,641,0,0
510411008211,2024,690,0,0
510411008212,2024,919,12,0
510411008213,2024,297,0,0
510411008221,2024,379,0,0
510411008222,2024,1233,0,0
510411008223,2024,376,611,0
510411008231,2024,846,218,0
510411008232,2024,224,778,0
510411008233,2024,755,0,0
510411009021,2024,385,19,0
510411009022,2024,745,14,0
510411009023,2024,398,9,1
510411009071,2024,469,0,0
510411009072,2024,320,398,217
510411009101,2024,383,48,0
510411009102,2024,508,0,0
510411009103,2024,783,41,12
510411009104,2024,418,0,7
510411009121,2024,912,124,0
510411009122,2024,366,82,0
510411009123,2024,660,60,0
510411009124,2024,393,54,9
510411009151,2024,372,581,0
510411009152,2024,760,239,0
510411009191,2024,1083,211,11
510411009192,2024,767,40,0
510411009193,2024,640,223,0
510411009201,2024,187,677,0
510411009211,2024,254,334,0
510411009212,2024,585,259,0
510411009213,2024,328,0,0
510411009214,2024,397,387,0
510411009221,2024,511,231,4
510411009222,2024,1066,188,2
510411009223,2024,187,71,0
510411009231,2024,729,24,10
510411009232,2024,340,150,0
510411009241,2024,541,616,0
510411009242,2024,949,8,0
510411009261,2024,357,545,0
510411009262,2024,572,51,6
510411009263,2024,607,0,0
510411009264,2024,560,16,0
510411009281,2024,601,1192,3
510411009282,2024,372,697,0
510411009283,2024,524,553,4
510411009291,2024,460,89,0
510411009292,2024,716,0,0
510411009293,2024,347,119,0
510411009294,2024,498,215,0
510411009301,2024,273,29,0
510411009302,2024,916,21,0
510411009311,2024,325,78,0
510411009312,2024,726,0,0
510411009313,2024,849,187,1
510411009321,2024,552,131,0
510411009322,2024,624,75,0
510411009331,2024,62,675,0
510411009332,2024,569,0,0
510411009341,2024,762,0,1
510411009342,2024,512,40,5
510411009343,2024,112,634,0
